0	  0                    0.4084793491864822  0   
10	0.10026222421867015  0.47029769354550277 0.4528487118269444  
20	0.24715946048227522  0.6008030871923231  0.8555669980249225  
30	0.40253153729954966  0.7862581202693841  1.2007541004803326  
40	0.5338915658814273   1.0129253829191252  1.488410019193174  
50	0.5932154497571138   1.2601987603552056  1.6705921010446403  
60	0.5649659812448822   1.4799973180761665  1.6993576929159244  
70	0.44914316034473206  1.6242401215805469  1.4308788354506057  
80	0.27682140242011843  1.6997958757971272  0.9466580389506558  
90	0                    1.720401990583467   0  
0	  0                    0.3569640622206327  0   
10	0.09636949065465616  0.40504499672209304 0.12259194395796902   
20	0.26273039473833104  0.48403510340306255 0.2946379565348818  
30	0.42588793868363334  0.6471631205673758  0.472025773074467  
40	0.5455697665734688   0.8480764646284047  0.5822938752477231  
50	0.5997033390304702   1.0713093748137548  0.6302365283665301  
60	0.5701562926635673   1.2464613504976458  0.5822938752477231  
70	0.4530358939087459   1.4284820311103161  0.448054446515064  
80	0.26254804601873394  1.5418156624351864  0.2539404553415059  
90	0                    1.5692904821503066  0  
