0	  0                   4.192733109473619   0 
10	0.3933761356853913  4.2823158598389455  1.2123759550388526  
20	0.775530124676703   4.5510641109349255  2.2619315090454464  
30	1.066922541282579   4.981061312688493   3.009560122858362  
40	1.2627764606406264  5.500641264807388   3.4121293764499323  
50	1.2962149346773666  6.056054317072412   3.397751903107376  
60	1.1576841136680154  6.593550819264372   2.9808051761732495  
70	0.8710686219245316  7.02354802101794    2.218799089017778
80	0.4602530837588708  7.29229627211392    1.1692435350111845
90	0                   7.543127973136834   0  
0	  0                   3.2235099337748325  0   
10	0.2805433052589712  3.2814569536423823  0.24088541666666652  
20	0.5775001657934871  3.4801324503311246  0.6300882846653315  
30	0.7920991113469056  3.780652457793117   1.0182800649143458  
40	0.9386709165064004  4.175496688741721   1.298640795094189  
50	0.9658817726639704  4.649605136336785   1.356150688464414  
60	0.8710686219245312  5.043769237944222   1.1692435350111845  
70	0.6561070031169183  5.384183689332463   0.8098067014472825  
80	0.3694915113734343  5.617098840282312   0.3645833333333335  
90	0                   5.697723315611107   0  
