cD disk - LS-1971,,cD hexagonal - LS-1971,,cD branched - LS-1971,,cD stellarplate - LS-1971,,cD dendrite - LS-1971,,cD stellar - LS-1971,,Be disk - LS-1971,,Be hexagonal - LS-1971,,Be branched - LS-1971,,Be stellarplate - LS-1971,,Be dendrite - LS-1971,,Be stellar - LS-1971,
0.504521387,45.74184247,0.390855031,65.19467413,0.409423508,70.50523585,0.251491644,172.225936,0.26140935,222.2468876,0.257396178,301.0911536,0.415807001,0.889416043,0.463366846,1.087465185,0.415807001,1.208023,0.305148573,1.311830909,0.243829088,1.47332277,0.24763073,2.024668025
0.524417454,43.85895561,0.409423508,61.85808613,0.428874123,67.24789978,0.26140935,165.3527548,0.273828208,213.6498228,0.269624382,287.9332698,0.435560879,0.927263661,0.485380164,1.136711206,0.435560879,1.256136938,0.319645365,1.364079377,0.253444617,1.540093049,0.257396178,2.113657598
0.549331124,41.72334738,0.428874123,58.84605276,0.449248785,64.14105237,0.273828208,156.8901921,0.286837054,204.3131833,0.282433515,273.9130394,0.452737452,0.961707065,0.508439277,1.18818734,0.456253211,1.309589753,0.334830861,1.437089829,0.265485092,1.597247608,0.269624382,2.209374893
0.570994287,40.63897659,0.449248785,56.27444109,0.466965148,61.66194377,0.284626768,151.2214584,0.300463915,194.8739312,0.293571429,264.0160533,0.470591392,0.994823132,0.530537889,1.225869814,0.47792858,1.368894717,0.350737779,1.494327192,0.275954637,1.663093092,0.282433515,2.33372772
0.588938313,39.06952876,0.470591392,53.81521056,0.485380164,59.12373243,0.293571429,145.3813953,0.314738151,186.8461259,0.305148573,253.1482716,0.489149412,1.02773393,0.557895976,1.288086373,0.500633687,1.434634678,0.367400393,1.557915796,0.286837054,1.715865058,0.294709098,2.423543727
0.612163406,37.85548339,0.500633687,50.26224189,0.508439277,56.39222087,0.305148573,139.0327032,0.329690518,179.149025,0.319645365,242.7198628,0.508439277,1.070101587,0.58440012,1.346417553,0.524417454,1.491774256,0.381889021,1.60314961,0.298148624,1.798327096,0.309906273,2.569977001
0.636304393,36.82342379,0.516366567,49.08584291,0.532593866,53.92784329,0.319645365,132.2628342,0.345353232,171.7690051,0.331395137,232.12302,0.532593866,1.127377286,0.612163406,1.396384601,0.549331124,1.559329472,0.396949016,1.680194704,0.309906273,1.87246195,0.323375921,2.656690977
0.661397392,35.16932648,0.536729755,46.81962053,0.557895976,51.43638138,0.334830861,126.1523022,0.36176004,165.1245509,0.345353232,224.3197836,0.557895976,1.172279214,0.641245651,1.455805421,0.570994287,1.613024471,0.415807001,1.75169259,0.32462909,1.952141448,0.34136914,2.811641235
0.692818612,33.89747884,0.557895976,44.77504424,0.58440012,49.06002481,0.350737779,120.3240762,0.378946292,158.3222673,0.36176004,215.0789605,0.579896898,1.215823773,0.671709516,1.525719192,0.593511747,1.681719338,0.435560879,1.82623295,0.340051349,2.051252189,0.356206279,2.958305821
0.72573257,32.50107678,0.58440012,43.04303367,0.612163406,47.28584023,0.367400393,114.7651138,0.396949016,152.1979665,0.378946292,205.1423303,0.602765438,1.254403339,0.703620637,1.59481161,0.621707902,1.730490862,0.452737452,1.896548659,0.356206279,2.138539808,0.373128686,3.100375849
0.754352217,31.20402596,0.621707902,41.2671677,0.641245651,45.33790643,0.381889021,109.8971108,0.415807001,145.5468141,0.396949016,195.6647716,0.63140121,1.311209179,0.737047771,1.675780619,0.651243581,1.81359616,0.470591392,1.969571744,0.373128686,2.223714984,0.387843213,3.21133537
0.784100495,29.95873775,0.651243581,39.36062796,0.671709516,43.2432989,0.396949016,105.2355943,0.435560879,139.1863214,0.415807001,186.6250753,0.65630085,1.351046518,0.772062938,1.756258505,0.68218242,1.900692516,0.49294793,2.058764089,0.387843213,2.309335001,0.403138014,3.343720561
0.821351011,28.87532349,0.687479947,37.39386424,0.703620637,41.24546206,0.41260291,101.1681452,0.456253211,133.1037865,0.435560879,178.9370805,0.687479947,1.42149824,0.808741582,1.840601271,0.714591081,1.991971597,0.516366567,2.157634419,0.403138014,2.410836449,0.419035974,3.472464313
0.860371199,27.54128593,0.714591081,35.90155238,0.731368288,39.8072384,0.428874123,97.00372676,0.47792858,128.2902813,0.456253211,171.5657917,0.714591081,1.489813427,0.84716273,1.944197982,0.748539391,2.082178323,0.54089776,2.25534321,0.422290022,2.533235257,0.435560879,3.625088404
0.901245132,26.33771341,0.742771358,34.69503686,0.760210182,38.11873087,0.449248785,92.76459934,0.500633687,122.0434891,0.47792858,164.4981621,0.748539391,1.557279847,0.882844539,2.011123758,0.784100495,2.187891071,0.566594365,2.345170509,0.442351891,2.641032862,0.452737452,3.740116868
0.944060876,25.1867378,0.772062938,33.44144083,0.796325734,36.45291697,0.470591392,88.47888251,0.524417454,117.0159241,0.500633687,156.4883127,0.784100495,1.644930048,0.908243803,2.094122825,0.821351011,2.292962609,0.593511747,2.4706925,0.459796271,2.742720929,0.470591392,3.919861573
0.988910682,24.14917354,0.808741582,32.06382519,0.834157038,34.95124398,0.489149412,85.05909519,0.549331124,111.9022503,0.524417454,150.4349538,0.821351011,1.723926362,0.944060876,2.186165122,0.860371199,2.403080116,0.621707902,2.542345027,0.47792858,2.863270847,0.49294793,4.108109468
